,Recording_ID,English_name,Species,Country,Spectrogram_med,Date,Url,Latitude,Longitude,Vocalization_type,Recordist,mp3_url
43,234032,Common Chaffinch,Fringilla coelebs,United Kingdom,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC234032-med.png,3/15/2015,//www.xeno-canto.org/234032,54.1246,-0.5468,"call, male, song",david m,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC234032-T02.mp3
44,168175,Common Chaffinch,Fringilla coelebs,United Kingdom,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC168175-med.png,3/30/2012,//www.xeno-canto.org/168175,54.1248,-0.5719,"male, song",david m,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC168175-T01.mp3
45,213928,Common Chaffinch,Fringilla coelebs,United Kingdom,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC213928-med.png,2/15/2015,//www.xeno-canto.org/213928,54.1246,-0.5702,"male, song",david m,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC213928-T06.mp3
46,512407,Common Chaffinch,Fringilla coelebs,Poland,//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/ffts/XC512407-med.png,6/22/2015,//www.xeno-canto.org/512407,52.3724,20.6421,"adult, male, song",Jarek Matusiak,//www.xeno-canto.org/sounds/uploaded/ZNCDXTUOFL/XC512407-150622_03%20zi%C4%99ba%20%282%29.mp3
47,177404,Common Chaffinch,Fringilla coelebs,United Kingdom,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC177404-med.png,3/8/2014,//www.xeno-canto.org/177404,54.1288,-0.5471,"call, male, song",david m,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC177404-T03.mp3
48,536517,Common Chaffinch,Fringilla coelebs,Ireland,//www.xeno-canto.org/sounds/uploaded/PVQOLRXXWL/ffts/XC536517-med.png,6/7/2019,//www.xeno-canto.org/536517,51.79600000000001,-9.7867,"adult, male, song",Sue Riffe,//www.xeno-canto.org/sounds/uploaded/PVQOLRXXWL/XC536517-Common%20Chaffinch%20on%206.7.19%20at%20Ring%20of%20Beara%20IR%20at%2011.30%20for%201.52.mp3
49,278175,Common Chaffinch,Fringilla coelebs,Spain,//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/ffts/XC278175-med.png,5/26/2015,//www.xeno-canto.org/278175,37.1242,-6.4966,"flight call, male, song",José Carlos Sires,//www.xeno-canto.org/sounds/uploaded/DXYUSANLSN/XC278175-fringilla%20coelebs%204%20la%20rocina%2026-05-2015.mp3
50,167197,Common Chaffinch,Fringilla coelebs,United Kingdom,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC167197-med.png,3/8/2012,//www.xeno-canto.org/167197,54.1248,-0.5720000000000001,"call, male, song",david m,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC167197-T10.mp3
51,463626,Common Chaffinch,Fringilla coelebs,Ukraine,//www.xeno-canto.org/sounds/uploaded/GUCOMZZMXJ/ffts/XC463626-med.png,3/27/2019,//www.xeno-canto.org/463626,44.9406,34.1329,"male, song",Kucherenko Volodymyr,//www.xeno-canto.org/sounds/uploaded/GUCOMZZMXJ/XC463626-130616_005.mp3
52,176831,Common Chaffinch,Fringilla coelebs,United Kingdom,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/ffts/XC176831-med.png,3/5/2014,//www.xeno-canto.org/176831,54.1247,-0.5711,"call, male, song",david m,//www.xeno-canto.org/sounds/uploaded/BTOFEKXFGW/XC176831-T10.mp3
